09/22/2025-18:30:42.581016  [**] [1:2030337:2] ET EXPLOIT VMware Spring Cloud Directory Traversal (CVE-2020-5410) [**] [Classification: Attempted Administrator Privilege Gain] [Priority: 1] {TCP} 192.42.1.174:33182 -> 172.17.100.121:80
09/22/2025-18:30:42.585073  [**] [1:2101244:17] GPL EXPLOIT ISAPI .idq attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 192.42.1.174:33182 -> 172.17.100.121:80
09/22/2025-18:30:42.585073  [**] [1:2101245:13] GPL EXPLOIT ISAPI .idq access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 192.42.1.174:33182 -> 172.17.100.121:80
09/22/2025-18:30:42.586050  [**] [1:2101244:17] GPL EXPLOIT ISAPI .idq attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 192.42.1.174:33182 -> 172.17.100.121:80
09/22/2025-18:30:42.586050  [**] [1:2101245:13] GPL EXPLOIT ISAPI .idq access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 192.42.1.174:33182 -> 172.17.100.121:80
09/22/2025-18:30:42.587067  [**] [1:2101244:17] GPL EXPLOIT ISAPI .idq attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 192.42.1.174:33182 -> 172.17.100.121:80
09/22/2025-18:30:42.587067  [**] [1:2101402:9] GPL EXPLOIT iissamples access [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 192.42.1.174:33182 -> 172.17.100.121:80
09/22/2025-18:30:42.587067  [**] [1:2101245:13] GPL EXPLOIT ISAPI .idq access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 192.42.1.174:33182 -> 172.17.100.121:80
09/22/2025-18:30:42.588051  [**] [1:2101244:17] GPL EXPLOIT ISAPI .idq attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 192.42.1.174:33182 -> 172.17.100.121:80
09/22/2025-18:30:42.588051  [**] [1:2101402:9] GPL EXPLOIT iissamples access [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 192.42.1.174:33182 -> 172.17.100.121:80
09/22/2025-18:30:42.588051  [**] [1:2101245:13] GPL EXPLOIT ISAPI .idq access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 192.42.1.174:33182 -> 172.17.100.121:80
09/22/2025-18:30:42.596244  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33182 -> 172.17.100.121:80
09/22/2025-18:30:42.620124  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33202 -> 172.17.100.121:80
09/22/2025-18:30:42.621077  [**] [1:2049401:1] ET WEB_SERVER /etc/hosts Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33202 -> 172.17.100.121:80
09/22/2025-18:30:42.622846  [**] [1:2101129:9] GPL WEB_SERVER .htaccess access [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33210 -> 172.17.100.121:80
09/22/2025-18:30:42.624870  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33210 -> 172.17.100.121:80
09/22/2025-18:30:42.626047  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33210 -> 172.17.100.121:80
09/22/2025-18:30:42.627117  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33210 -> 172.17.100.121:80
09/22/2025-18:30:42.628130  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33210 -> 172.17.100.121:80
09/22/2025-18:30:42.629304  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33210 -> 172.17.100.121:80
09/22/2025-18:30:42.630385  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33210 -> 172.17.100.121:80
09/22/2025-18:30:42.630792  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33210 -> 172.17.100.121:80
09/22/2025-18:30:42.633695  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33224 -> 172.17.100.121:80
